Date,Region,Product,Category,Units Sold,Unit Price,Total Sales,Profit Margin (%)
15/01/24,NORTH,Tablet,Electronics,32.0,858.0,27456.0,0.1%
30/01/24,NORTH,Tablet,Electronics,72.0,833.83,60035.76,15%
28/04/24,WEST,Laptop,Gadget,30.0,733.46,22003.800000000003,0.1%
03/04/24,SOUTH,Laptop,Gadgets,20.0,670.28,13405.599999999999,8%
28/01/24,NORTH,Tablet,Electronics,30.0,758.58,22757.4,8%
15/03/24,WEST,Tablet,Gadgets,47.0,241.65,11357.550000000001,0.12%
07/02/24,WEST,Laptop,Gadgets,30.0,996.92,29907.6,0.08%
16/03/24,NORTH,Laptop,Gadget,29.0,172.9,5014.1,8%
03/03/24,SOUTH,Tablet,Electronics,30.0,348.6,10458.0,8%
18/01/24,WEST,Laptop,Electronics,60.0,995.09,59705.4,0.1%
03/03/24,WEST,Laptop,Gadgets,8.0,499.33,3994.64,15%
03/03/24,SOUTH,Laptop,Electronics,28.0,655.07,18341.960000000003,0.08%
23/02/24,NORTH,Tablet,Gadget,20.0,367.26,7345.2,8%
10/02/24,NORTH,Laptop,Gadgets,30.0,650.27,19508.1,8%
20/01/24,EAST,Desktop,Gadget,30.0,803.81,24114.3,15%
25/04/24,SOUTH,Tablet,Electronics,30.0,540.16,16204.8,0.1%
14/01/24,EAST,Monitor,Gadget,30.0,867.19,26015.7,0.12%
20/04/24,NORTH,Monitor,Electronics,35.0,906.89,31741.149999999998,8%
22/04/24,EAST,Laptop,Gadget,34.0,544.44,18510.960000000003,0.08%
20/03/24,EAST,Tablet,Electronics,20.0,782.52,15650.4,0.12%
30/04/24,WEST,Tablet,Electronics,30.0,682.38,20471.4,0.08%
30/03/24,WEST,Phone,Gadgets,32.0,771.88,24700.16,0.12%
08/02/24,WEST,Monitor,Gadgets,30.0,919.77,27593.1,0.12%
26/03/24,NORTH,Monitor,Gadgets,93.0,960.59,89334.87000000001,0.1%
24/02/24,SOUTH,Monitor,Gadgets,24.0,435.27,10446.48,8%
01/03/24,NORTH,Tablet,Gadget,20.0,329.83,6596.599999999999,0.1%
17/01/24,WEST,Tablet,Electronics,73.0,576.89,42112.97,8%
16/02/24,NORTH,Monitor,Gadgets,91.0,851.66,77501.06,15%
07/04/24,SOUTH,Tablet,Gadgets,30.0,911.02,27330.6,15%
17/02/24,WEST,Tablet,Gadget,20.0,438.45,8769.0,15%
10/02/24,NORTH,Tablet,Gadget,30.0,321.94,9658.2,0.1%
07/02/24,SOUTH,Desktop,Electronics,39.0,825.68,32201.519999999997,0.12%
21/04/24,NORTH,Tablet,Electronics,20.0,288.06,5761.2,0.08%
28/03/24,NORTH,Laptop,Electronics,20.0,221.71,4434.2,0.12%
26/04/24,WEST,Desktop,Gadget,20.0,682.79,13655.8,0.1%
31/01/24,SOUTH,Tablet,Electronics,21.0,805.76,16920.96,15%
10/01/24,NORTH,Laptop,Electronics,30.0,777.25,23317.5,0.1%
